topic,noise_count,total,noise_pct
"After the progression of the semester, I have developed new skills in conceiving and managing systems engineering skills that have enabled our team to develop unique DISCIPLINARY DESIGNS in a multi-disciplinary project.",1,1,100.0
I will be reflecting over Brain storming. Its an activity in which a group of people meet and give and discuss ideas for solving an issue or for development.,1,1,100.0
"After studying with Dr. Steven and group C3, I was able to learned a new skillset called communication. Communication helps me to achieved multiple goals from inside and outside study. I learned that communication is one of the most important skill that apply in most of industry including Engineer. This skill helped me to participate in group work, which we able to finish the RGM machine. ",1,1,100.0
Reflecting on taking initiative and the willingness to make decisions in the face of uncertainty.,1,1,100.0
"Teamwork that creates attitudes, thought and learning",1,1,100.0
Hypothesis test and defence,2,2,100.0
I will be reflecting over self-marketing and self-promoting skills which are skills that are discussed in the ENGG1050 unit and will be transferable skills for future employment. ,1,1,100.0
"The goal is to find a design mechanism that is best according to the task. The creative process involves critical thinking and problem-solving skills.

As a Team leader and team worker, all your skills need to be reflected. From what you are confident in and what skills you are stronger in. All of these reflections need to be assessed and collaborated. Brainstorming is a very important skill to have. Brainstorming encourages open and ongoing collaboration to solve problems and generate innovative ideas. Brainstorming helps teams by creating lots of ideas quickly which then can be refined to create the solution to the problem or task.",1,1,100.0
"Accountability in a team operation

You need to be able to count on every team member to ensure that all work completed is correct and done on time",1,1,100.0
"Self-awareness, metacognition and knowledge integration",1,1,100.0
I will be reflecting on my own and my group's attitude towards assigned roles and the tasks at hand.,1,1,100.0
Interpersonal skills: Teamwork and communication.,1,1,100.0
Forming Effective Team,1,1,100.0
Time and Resource Managment,1,1,100.0
The skill topic that I will be reflecting on is creative thinking and resource management.,1,1,100.0
Communications structure ,1,1,100.0
I will be reflecting on my communication skills.,1,1,100.0
"Throughout this topic we have learned multiple useful skills that employers will look for. Certainly a major one would be communication and being able to express ones ideas. Another skill would be again from the teamwork aspect, as we had to coordinate group meetings, so we had to learn how to reorganise aspects of our daily life as we were all fairly busy individuals. We also spent a large amount of time brainstorming ideas, and from that we would sort through those and eliminate ones which wouldnt work, and sought to adapt the ones that would to fit the roles we wanted more appropriately.",1,1,100.0
" The topic of my reflection on for employability and transferrable skills is ""teamwork and communication."". As I consider my teamwork and communication abilities, I'd want to say that it would be quite advantageous for me to develop these abilities. .Due to the fact that my teachers divided up all of the students into groups, my group mates and I are working to construct the Rube Goldberg machine.. we  pretty much started thinking about our project since week one . we divided the work between 6 people as we have six members in our group .My team and I concentrated on establishing a functional conception, and architecture, the phases and methodologies of the design stage, discipline design, test, and evaluation across weeks 2 through 6.Implementation management follows verification, validation, and certification. Together, we proceeded through the conceptual and preliminary designs. after then we finally finalised the idea of out machine .For a total of 12 systems, we decided we will create 2 systems for each person.after that on our mid semester break we started making our machines  individually . we also made a whatsup group in which me and my group members were continually  helping each other . me and my group members faced a lot of problems because of the reliably of the machines .   al though we were facing a lot of problems but managed to get over them by helping each other . ",1,1,100.0
The transferable skill topic I will be reflecting on is forming an effective team.,1,1,100.0
Personal and professional skills and attributes: TIME AND RESOURCE MANAGEMENT,1,1,100.0
"The transferable/employability skill that i will be reflecting on is ‘Forming effective teams’. 

During this first half of the semester, my group A8 have performed exceptionally well in getting to know each other and working together with each other in order to complete any assigned tasks, as well as gather ideas for our RGM Project.

We all made sure that each and every one of us was participating equally to complete the tasks, by assigning a person with a different role each week (either Minute Taker, Chair Person or Presenter), and also by checking up on each other to see whether or not that task was completed and if they needed any help with their task.

An important factor for all of us to successfully build our relationship as a team was for us to first get-to-know each other. This was approached by creating a Team Charter during our first workshop, in which we listed down our long term goals – such as achieving professionalism within our group, maintaining a positive relationship with each other, becoming better presenters and leaders, and upholding a level of high quality of work throughout the semester as a group – as well as our personal goals that we wanted to accomplish by the end of the unit – which includes: Contributing fairly to the group work, learning new skills professional/interpersonal skills from our team members and actively learning from each other.

By listing down these goals, we were able to all have the same common purpose. This gave us a sense of direction of how we would all work together and gave us responsibilities that we needed to fulfil.

Regularly reviewing our group’s performance during our past workshops with our tutors was also a factor that lead to forming an effective team. After the presenter of our group has presented their work to the tutor room, our Minute Taker would record down the feedback given to us. Along with this feedback, the feedback given for our team reflection and minutes would also be collected and with all of this, we would look over them and discuss how we could improve for the upcoming weeks.

This technique has significantly improved our presentations later on in the semester, as we were more confident and prepared, however, we did not bring as-much significance in this technique for our Minutes. We should have focused more on improving our Minutes for each week, in order to achieve our best possible outcome.

As well as tutor’s feedback, we lacked giving each other constructive criticism. In order for us to maintain being an effective team, it is important to give each other feedback on how we performed during our workshop and during our private weekly meetings. This will allow for all of us to improve our contribution to the group, as well as improve our employability skills for the future (in the workplace environment and in other units at Macquarie University).

Another thing our group could improve on, in order for us to be an effective team, is by giving us each other rewards, or words of compliments. We need to maintain enthusiasm within the upcoming weeks and by complimenting each other, and bringing recognition to the good work that a group member has done, this will no-doubt keep up the enthusiasm and passion will have to complete the RGM Project.

Overall, my group has performed well in showing how we can form an effective team, with our strengths being communication, maintaining a weekly schedule and contributing fairly to the group work.",1,1,100.0
The transferable skill which I will be reflecting over is creating new solution concepts,1,1,100.0
"TOPIC FOR REFLECTION

Today the skills/employability topic I will be addressing is team communication. I will describe how team members improved communication by organising meetings and setting up various strategies.",1,1,100.0
FORMING EFFECTIVE TEAMS,1,1,100.0
"The skill that I will mainly be reflecting over is, having accountability in a team operation.",1,1,100.0
"I will be reflecting upon the topic-

Interpersonal skills: teamwork and communication

As this unit is focused more on teamwork and communicating with tutors and other team members in order to get the project done .",1,1,100.0
Understanding needs and setting goals.,1,1,100.0
The most prominent transferable skill that has stood out within my group is reflecting over is ACCOUNTABILITY IN A TEAM'S OPERATION.,1,1,100.0
"Documentation -  (Test, verification, validation, and certification)",1,1,100.0
"TRANSFERABLE SKILLS are vital as they overlap and are essential for success in different industries and occupations as they provide beneficial outcomes for individuals who adopt them. A transferable skill that I have personally had to develop through the second half of the semester is ‘perseverance, urgency and will to deliver, resourcefulness and flexibility’. As a full time student at Macquarie University, part time worker in the workforce, multidisciplinary sportsman, time is often found to be more valuable as balancing so many things along with a social life and trying to excel in all is quite a challenge for some.

During ENGG1050 being able to persevere, have urgency and a will to deliver, while being resourceful and flexible is beneficial as I am part of a team with individuals I have connected with over the last 11 weeks. I have a responsibility in the team to carry my work load and carry out my tasks and assist my teammates to the best of my ability. Being resourceful and flexible has especially been important when constructing my actions for the RGM. As testing was done and issues in some actions reliability became apparent, and adjustments to some actions needed to be made, being resourceful and flexible in a sense to allow for adaptation to the challenge presented was vital to maintain the momentum our team have leading up to the final weeks of the semester.",1,1,100.0
I'm reflecting over the skill of adaptability when applying theoretical ideas in a practical setting.,1,1,100.0
I will be reflecting over the importance of accountability in a team operation.,1,1,100.0
Equity and diversity and Inclusion,1,1,100.0
I will be reflecting on transferable skills such as taking accountability in a team operation and communications structure as our team learned to face challenges and develop these skills.,1,1,100.0
TRANSFERABLE SKILL: How to manage deadlines in a group setting.,1,1,100.0
Forming an effective team,2,2,100.0
As I take some time here to reflect on the skills/employability skills that I have been using and developing during my study of engg1050 as a 1st year student. I want to highlight the interpersonal skills of visual communication strategies.,1,1,100.0
Equity and diversity,13,13,100.0
"Forming an effective team
Thinking creatively

Identifying an issue, problem or paradox and acting on it",1,1,100.0
Allocation of Team/Group Meetings - Accountability in a team operation,1,1,100.0
"The transferable skill I have recognised to be a significant competency and will reflect over is identifying an issue, problem, or paradox in any circumstance. ",1,1,100.0
Leading engineering endeavours: Thinking creatively and communicating possibilities,1,1,100.0
"Understanding needs and setting goals

Creating new solution concepts",1,1,100.0
I will be reflecting over the time and resource management skills that I have learned throughout this unit.,1,1,100.0
BRAINSTORMING AND DESIGNING AN EFFECTIVE METHOD OF TRANSPORTING GOODS WITHIN THE WORKPLACE.,1,1,100.0
I took on a leadership role within the group and led a team building exercise where each member said one strength and weakness. I felt this was a good way for the team to get to know one another and become more comfortable speaking within the group.,1,1,100.0
Improved personal and professional skills and attributes over the course of the previous weeks.,1,1,100.0
"Throughout this unit a have enhanced almost every skill represented on the professional development pdf, every one in itself a vital aspect of engineers within industry and as an individual who has already actively entered the industry and received and internship I take improving ever one of those aspects extremely seriously. However as i cannot talk about every single one the three main ones I would like to discuss are.

_INITIATIVE AND WILLINGNESS TO MAKE DECISIONS IN THE FACE OF UNCERTAINTY. _

_
_

_PROFESSIONAL BEHAVIOUR.  _

_
_

_AND…_

_UNDERSTANDING NEEDS AND SETTING GOALS. _

_
_

All three of these aspects are essential for me moving into the workforce and are vitally important in being a essential member within a team setting. All three of these I actively work on throughout all of my classes not only ENGG1050 and will continue to develop throughout my university career. ",1,1,100.0
Leading engineering endevours / Thinking creatively and communicating possibilities.,1,1,100.0
Managing Scheduling/Deadlines,1,1,100.0
I will be taking this time to reflect on skills and employability skills that I have been using and developing throughout my study of Engg1050 as a first-year student. I will reflect particularly on my interpersonal skill of communications structure.,1,1,100.0
Forming effective teams,4,6,66.7
Leading engineering endeavours,6,10,60.0
Technological advancements and their implications,5,9,55.6
Communications structure,13,25,52.0
-,1,2,50.0
engineering and business acumen,2,4,50.0
"Test, verification, validation, and certification",1,2,50.0
Advocacy,1,2,50.0
Forming Effective Teams,1,2,50.0
Importances of diversity,1,2,50.0
Initiative and the willingness to make decisions in the face of uncertainty.,1,2,50.0
Mission driven leading,2,4,50.0
Team leadership,14,34,41.2
Roles and responsibility of engineers,12,36,33.3
Empathy as a leader,4,12,33.3
Visual communications strategy,1,3,33.3
Developing a global perspective,1,3,33.3
Thinking holistically,1,3,33.3
"Conceiving, systems engineering and management",3,9,33.3
"Identifying the issue, problem, or paradox",1,3,33.3
Interpersonal skills: teamwork and communication,50,154,32.5
Communications,5,16,31.2
"Negotiation, compromise, and conflict resolution",4,13,30.8
"Trade-offs, judgment, and balance in resolution",4,13,30.8
Importance of accountability,7,23,30.4
Written communication,2,7,28.6
Time and Resource Management,2,7,28.6
Initiative and the willingness to make decisions in the face of uncertainty,12,46,26.1
Prioritization and focus,3,12,25.0
Accountability in a team operation,5,21,23.8
Professional behaviour,8,34,23.5
Thinking creatively and communicating possibilities,6,26,23.1
"Ethics, integrity, and social responsibility",5,22,22.7
Critical thinking,26,117,22.2
Creative thinking,11,50,22.0
The design process phasing and approaches,4,19,21.1
"Negotiation, compromise and conflict resolution",2,10,20.0
Solving Pain Points,6,31,19.4
Communications strategy,3,17,17.6
The impact of engineering on society and the environment,3,20,15.0
"Attitudes, thought and learning",8,55,14.5
"Self-awareness, metacognition, and knowledge integration",1,7,14.3
Creating new solution concepts,3,23,13.0
"Perseverance, urgency and will to deliver, resourcefulness and flexibility",10,80,12.5
The innovation processes,3,25,12.0
Experimental inquiry,1,9,11.1
Time and resource management,20,180,11.1
Lifelong learning and educating,1,10,10.0
Prioritisation and focus,5,52,9.6
Understanding needs and setting goals,1,14,7.1
Oral presentation,5,78,6.4
Defining the solution,1,24,4.2
